year,Beef,Poultry,Pork,Seafood
1961,9.38,2.88,8.02,6.6674
1962,9.7,2.95,8.29,6.8228
1963,9.97,3.03,8.77,7.0374
1964,9.96,3.1,8.77,7.1188
1965,9.98,3.29,9.33,7.3926
1966,10.28,3.42,9.51,7.4666
1967,10.49,3.55,9.73,7.6294
1968,10.77,3.62,9.71,7.8736
1969,10.86,3.8,9.42,7.7996
1970,10.8,4.06,9.54,8.0142
1971,10.52,4.16,10.28,8.0882
1972,10.43,4.37,10.53,8.4138
1973,10.3,4.46,10.43,8.5396
1974,10.77,4.55,10.45,8.6802
1975,11.12,4.58,10.25,8.621
1976,11.48,4.77,10.15,8.658
1977,11.39,4.99,10.09,8.5026
1978,11.25,5.26,10.59,8.547
1979,10.75,5.58,11.44,8.436
1980,10.61,5.76,11.86,8.4878
1981,10.5,5.98,11.72,8.7542
1982,10.33,6.09,11.54,8.7542
1983,10.37,6.15,11.83,8.7912
1984,10.45,6.15,12.02,9.0872
1985,10.45,6.33,12.38,9.2796
1986,10.67,6.65,12.17,9.583
1987,10.51,7.05,12.54,9.9012
1988,10.4,7.28,13.04,9.916
1989,10.33,7.31,13.04,10.0936
1990,10.34,7.65,13.04,10.0196
1991,10.24,7.94,12.99,9.6422
1992,9.91,8.18,13.17,9.5756
1993,9.67,8.52,13.29,9.916
1994,9.7,8.88,13.45,10.4044
1995,9.64,9.39,13.49,11.1444
1996,9.63,9.47,13.38,11.4626
1997,9.65,9.96,13.25,11.4848
1998,9.58,10.21,13.96,11.5366
1999,9.58,10.59,14.03,11.6476
2000,9.57,10.99,14.19,11.766
2001,9.29,11.24,14.03,11.951
2002,9.47,11.58,14.24,11.9954
2003,9.41,11.77,14.61,12.1434
2004,9.42,12.03,14.42,12.432
2005,9.48,12.25,14.51,12.58
2006,9.6,12.54,14.79,12.9204
2007,9.75,13.1,15.04,13.2756
2008,9.62,13.6,15.33,13.468
2009,9.51,13.75,15.42,13.6604
2010,9.53,14.14,15.61,13.8898
2011,9.4,14.54,15.5,14.0082
2012,9.37,14.73,15.89,14.2228
2013,9.32,14.99,16.02,14.0452
2014,9.16,14.62,15.76,14.726
2015,9.01,14.83,15.88,13.616
2016,8.96,15.08,15.68,14.726
2017,9,15.18,15.7,15.022
