year,Beef,Poultry,Pork,Seafood
1961,1.00,1.00,1.00,1.00
1962,1.03,1.02,1.03,1.02
1963,1.06,1.05,1.09,1.06
1964,1.06,1.08,1.09,1.07
1965,1.06,1.14,1.16,1.11
1966,1.10,1.19,1.19,1.12
1967,1.12,1.23,1.21,1.14
1968,1.15,1.26,1.21,1.18
1969,1.16,1.32,1.17,1.17
1970,1.15,1.41,1.19,1.20
1971,1.12,1.44,1.28,1.21
1972,1.11,1.52,1.31,1.26
1973,1.10,1.55,1.30,1.28
1974,1.15,1.58,1.30,1.30
1975,1.19,1.59,1.28,1.29
1976,1.22,1.66,1.27,1.30
1977,1.21,1.73,1.26,1.28
1978,1.20,1.83,1.32,1.28
1979,1.15,1.94,1.43,1.27
1980,1.13,2.00,1.48,1.27
1981,1.12,2.08,1.46,1.31
1982,1.10,2.11,1.44,1.31
1983,1.11,2.14,1.48,1.32
1984,1.11,2.14,1.50,1.36
1985,1.11,2.20,1.54,1.39
1986,1.14,2.31,1.52,1.44
1987,1.12,2.45,1.56,1.49
1988,1.11,2.53,1.63,1.49
1989,1.10,2.54,1.63,1.51
1990,1.10,2.66,1.63,1.50
1991,1.09,2.76,1.62,1.45
1992,1.06,2.84,1.64,1.44
1993,1.03,2.96,1.66,1.49
1994,1.03,3.08,1.68,1.56
1995,1.03,3.26,1.68,1.67
1996,1.03,3.29,1.67,1.72
1997,1.03,3.46,1.65,1.72
1998,1.02,3.55,1.74,1.73
1999,1.02,3.68,1.75,1.75
2000,1.02,3.82,1.77,1.76
2001,0.99,3.90,1.75,1.79
2002,1.01,4.02,1.78,1.80
2003,1.00,4.09,1.82,1.82
2004,1.00,4.18,1.80,1.86
2005,1.01,4.25,1.81,1.89
2006,1.02,4.35,1.84,1.94
2007,1.04,4.55,1.88,1.99
2008,1.03,4.72,1.91,2.02
2009,1.01,4.77,1.92,2.05
2010,1.02,4.91,1.95,2.08
2011,1.00,5.05,1.93,2.10
2012,1.00,5.11,1.98,2.13
2013,0.99,5.20,2.00,2.11
2014,0.98,5.08,1.97,2.21
2015,0.96,5.15,1.98,2.04
2016,0.96,5.24,1.96,2.21
2017,0.96,5.27,1.96,2.25
