country,year,gdp_percap_normalized,consumption_percap_normalized
Nigeria,1995,0,0
Nigeria,1996,2,9
Nigeria,1997,2,5
Nigeria,1998,2,16
Nigeria,1999,0,12
Nigeria,2000,3,3
Nigeria,2001,7,30
Nigeria,2002,21,24
Nigeria,2003,27,28
Nigeria,2004,36,37
Nigeria,2005,42,45
Nigeria,2006,47,81
Nigeria,2007,53,100
Nigeria,2008,60,92
Nigeria,2009,68,73
Nigeria,2010,78,82
Nigeria,2011,82,100
Nigeria,2012,85,96
Nigeria,2013,93,91
Nigeria,2014,100,56
Nigeria,2015,100,45
China,1995,0,0
China,1996,2,10
China,1997,4,11
China,1998,6,15
China,1999,8,17
China,2000,10,22
China,2001,13,19
China,2002,16,26
China,2003,20,28
China,2004,24,34
China,2005,29,37
China,2006,35,42
China,2007,43,48
China,2008,49,55
China,2009,55,63
China,2010,63,69
China,2011,71,73
China,2012,78,84
China,2013,85,82
China,2014,92,91
China,2015,100,100
India,1995,0,0
India,1996,3,14
India,1997,5,17
India,1998,8,16
India,1999,13,22
India,2000,14,12
India,2001,16,28
India,2002,18,22
India,2003,23,25
India,2004,28,27
India,2005,34,39
India,2006,40,46
India,2007,46,44
India,2008,48,81
India,2009,55,63
India,2010,63,68
India,2011,68,44
India,2012,74,41
India,2013,81,38
India,2014,90,90
India,2015,100,100
Chile,1995,0,97
Chile,1996,6,100
Chile,1997,14,65
Chile,1998,18,30
Chile,1999,16,23
Chile,2000,21,2
Chile,2001,24,13
Chile,2002,27,20
Chile,2003,31,64
Chile,2004,41,90
Chile,2005,48,73
Chile,2006,57,68
Chile,2007,63,66
Chile,2008,68,73
Chile,2009,63,54
Chile,2010,72,39
Chile,2011,81,47
Chile,2012,90,25
Chile,2013,96,21
Chile,2014,98,24
Chile,2015,100,0
